BirdID,Level,SlideNum,SlideID,ROI,Condition,SongID,Area,Mean,StdDev,Min,Max,Median,Skew,Kurt,WholeMed
294,lateral,1A,i1j2.tif,vncm,Novel,65,359996.928,200.457,21.245,40,253,205,-1.788,-7.793,207
294,lateral,1A,i1j2.tif,cncm,Novel,65,360171.832,207.982,14.16,49,253,210,-2.388,-10.49,207
294,lateral,1A,i1j2.tif,whole,Novel,65,24960308.67,202.885,20.051,20,254,207,-2.197,-0.28,207
302,lateral,10A,i1j2.tif,l,Novel,61,114842.872,201.463,9.483,55,249,203,0.158,-105.005,202
302,lateral,10A,i1j2.tif,cmm,Novel,61,359937.526,180.872,30.279,21,228,192,-2.695,8.509,202
302,lateral,10A,i1j2.tif,dncm,Novel,61,360191.632,191.385,23.832,23,237,199,-3.829,18.528,202
302,lateral,10A,i1j2.tif,vncm,Novel,61,360171.832,198.917,17.858,31,240,204,-4.087,17.367,202
302,lateral,10A,i1j2.tif,cncm,Novel,61,360033.229,201.092,16.909,22,226,205,-3.282,-10.453,202
302,lateral,10A,i1j2.tif,whole,Novel,61,25611243.348,195.578,22.893,17,254,202,-3.482,16.042,202
303,lateral,9A,i1j2.tif,l,Novel,11,114826.372,199.545,14.731,42,252,201,-1.999,10.733,194
303,lateral,9A,i1j2.tif,cmm,Novel,11,360451.514,177.099,32.305,20,245,187,-2.013,4.351,194
303,lateral,9A,i1j2.tif,dncm,Novel,11,359948.251,189.153,28.557,22,250,197,-2.668,8.366,194
303,lateral,9A,i1j2.tif,vncm,Novel,11,359980.427,182.416,30.887,15,252,191,-2.201,5.591,194
303,lateral,9A,i1j2.tif,cncm,Novel,11,360389.637,182.693,34.544,15,251,194,-2.323,5.398,194
303,lateral,9A,i1j2.tif,whole,Novel,11,22229453.253,186.079,30.024,11,254,194,-2.247,6.048,194
4441,lateral,8A,I1j2_2.tif,l,Novel,143,114785.946,204.066,14.934,42,254,205,-1.719,19.965,206
4441,lateral,8A,I1j2_2.tif,cmm,Novel,143,359683.42,186.666,34.228,12,254,196,-2.324,6.223,206
4441,lateral,8A,I1j2_2.tif,dncm,Novel,143,360353.337,196.186,27.472,20,254,203,-2.683,9.902,206
4441,lateral,8A,I1j2_2.tif,vncm,Novel,143,360065.404,199.259,23.287,11,254,204,-2.96,14.073,206
4441,lateral,8A,I1j2_2.tif,cncm,Novel,143,360278.26,199.214,26.215,14,253,205,-3.159,13.751,206
4441,lateral,8A,I1j2_2.tif,whole,Novel,143,21238899.657,201.175,25.956,5,255,206,-2.427,10.573,206
4497,lateral,1A,i2j2.tif,l,Novel,808,114899.798,204.02,16.17,32,251,206,-2.869,9.791,205
4497,lateral,1A,i2j2.tif,cmm,Novel,808,359683.42,181.068,35.384,17,241,194,-2.016,3.541,205
4497,lateral,1A,i2j2.tif,dncm,Novel,808,359697.445,192.462,28.723,21,253,202,-2.623,7.025,205
4497,lateral,1A,i2j2.tif,vncm,Novel,808,360065.404,191.663,27.997,25,248,200,-2.541,6.139,205
4497,lateral,1A,i2j2.tif,cncm,Novel,808,359815.423,197.94,25.088,30,248,205,-3.238,10.406,205
4497,lateral,1A,i2j2.tif,whole,Novel,808,27451979.88,197.546,27.544,14,255,205,-2.724,8.305,205
4622,lateral,3A,i2j2.tif,l,Novel,14,114899.798,206.718,14.131,26,253,209,2.406,-124.233,205
4622,lateral,3A,i2j2.tif,cmm,Novel,14,360234.534,194.833,26.166,24,248,202,-2.554,5.446,205
4622,lateral,3A,i2j2.tif,dncm,Novel,14,360244.434,194.093,28.292,25,241,203,-2.74,7.214,205
4622,lateral,3A,i2j2.tif,vncm,Novel,14,359894.625,196.726,26.995,21,253,203,-2.599,6.889,205
4622,lateral,3A,i2j2.tif,cncm,Novel,14,359864.924,200.432,24.303,26,253,206,-2.987,8.471,205
4622,lateral,3A,i2j2.tif,whole,Novel,14,27698101.685,200.945,21.81,16,254,205,-2.534,5.338,205
301,lateral,5A,i1j2.tif,l,Hab,61,114899.798,202.728,8.257,39,231,204,-14.451,305.597,204
301,lateral,5A,i1j2.tif,cmm,Hab,61,360234.534,197.216,15.345,28,251,201,-3.908,21.242,204
301,lateral,5A,i1j2.tif,dncm,Hab,61,360244.434,202.1,13.365,36,226,204,-8.057,97.17,204
301,lateral,5A,i1j2.tif,vncm,Hab,61,360086.03,198.943,18.435,27,253,203,-5.054,35.084,204
301,lateral,5A,i1j2.tif,cncm,Hab,61,359864.924,203.892,12.259,32,234,206,-9.406,135.161,204
301,lateral,5A,i1j2.tif,whole,Hab,61,24333254.214,199.707,17.848,10,255,204,-3.395,13.858,204
319,lateral,2A,i1j2.tif,l,Hab,11,114875.873,218.057,14.298,109,255,219,9.658,-237.901,219
319,lateral,2A,i1j2.tif,cmm,Hab,11,359805.523,210.573,20.232,22,254,214,-2.004,1.399,219
319,lateral,2A,i1j2.tif,dncm,Hab,11,359777.472,213.787,19.745,23,254,217,-2.271,-1.435,219
319,lateral,2A,i1j2.tif,vncm,Hab,11,359858.324,212.056,20.891,26,255,215,-1.786,-1.55,219
319,lateral,2A,i1j2.tif,cncm,Hab,11,360175.132,215.027,18.254,21,255,218,-2.388,-6.44,219
319,lateral,2A,i1j2.tif,whole,Hab,11,26924318.96,216.823,15.199,12,255,219,-0.481,-44.758,219
324,lateral,1A,i2j2.tif,l,Hab,14,114889.898,202.628,19.512,55,254,203,-0.591,5.678,199
324,lateral,1A,i2j2.tif,cmm,Hab,14,359688.37,185.216,33.988,18,254,193,-1.842,4.255,199
324,lateral,1A,i2j2.tif,dncm,Hab,14,360158.632,189.432,32.577,21,254,196,-1.988,5.402,199
324,lateral,1A,i2j2.tif,vncm,Hab,14,359694.97,191.147,30.255,20,254,197,-2.258,7.371,199
324,lateral,1A,i2j2.tif,cncm,Hab,14,359778.297,199.929,23.4,23,253,204,-2.883,11.878,199
324,lateral,1A,i2j2.tif,whole,Hab,14,23894519.792,192.085,29.72,5,255,199,-2.231,6.187,199
4269,lateral,6A,i1j2.tif,l,Hab,143,114904.748,205.793,8.876,58,246,206,-11.252,258.844,205
4269,lateral,6A,i1j2.tif,cmm,Hab,143,360021.678,187.7,31.479,20,254,199,-2.76,8.404,205
4269,lateral,6A,i1j2.tif,dncm,Hab,143,360385.512,195.147,26.895,27,232,203,-3.562,14.757,205
4269,lateral,6A,i1j2.tif,vncm,Hab,143,360379.737,198.433,21.846,23,241,203,-4.95,32.194,205
4269,lateral,6A,i1j2.tif,cncm,Hab,143,359754.372,198.052,24.407,22,241,204,-4.15,20.813,205
4269,lateral,6A,i1j2.tif,whole,Hab,143,23115980.823,198.518,25.328,10,255,205,-3.689,16.863,205
4612,lateral,8A,i1j2.tif,l,Hab,808,114930.324,201.145,19.666,23,254,202,-1.55,12.224,203
4612,lateral,8A,i1j2.tif,cmm,Hab,808,360458.939,184.161,38.818,16,254,194,-1.849,3.694,203
4612,lateral,8A,i1j2.tif,dncm,Hab,808,360214.733,202.249,25.066,24,255,207,-3.088,14.704,203
4612,lateral,8A,i1j2.tif,vncm,Hab,808,359686.72,183.163,31.898,15,254,190,-1.856,4.577,203
4612,lateral,8A,i1j2.tif,cncm,Hab,808,360380.562,198.502,25.739,9,253,204,-3.173,14.326,203
4612,lateral,8A,i1j2.tif,whole,Hab,808,28977243.373,195.792,28.915,6,255,203,-2.407,8.237,203
4269,medial,2B,i1j2.tif,cmm,Hab,143,131099.903,198.651,23.146,33,231,206,-3.328,11.716,208
4269,medial,2B,i1j2.tif,dncm,Hab,143,131184.881,199.822,18.857,34,227,205,-4.251,21.733,208
4269,medial,2B,i1j2.tif,vncm,Hab,143,131443.112,205.607,16.725,33,235,210,-5.073,35.554,208
4269,medial,2B,i1j2.tif,cncm,Hab,143,131231.907,193.467,30.102,28,222,204,-2.814,7.553,208
4269,medial,2B,i1j2.tif,l,Hab,143,254706.97,211.217,5.7,84,240,212,-19.348,684.927,208
4269,medial,2B,i1j2.tif,whole,Hab,143,11786232.369,201.292,23.647,19,248,208,-3.45,12.289,208
301,medial,4A,i2j2.tif,cmm,Hab,61,131347.41,201.886,21.107,34,247,207,-3.623,18.324,211
301,medial,4A,i2j2.tif,dncm,Hab,61,131347.41,202.404,23.463,26,249,208,-3.41,14.282,212
301,medial,4A,i2j2.tif,vncm,Hab,61,131347.41,206.975,17.016,36,249,210,-3.649,19.208,213
301,medial,4A,i2j2.tif,cncm,Hab,61,131347.41,205.333,22.3,27,249,211,-3.504,9.983,214
301,medial,4A,i2j2.tif,l,Hab,61,254688.819,212.231,11.511,44,253,213,2.331,-103.297,215
301,medial,4A,i2j2.tif,whole,Hab,61,18475649.805,207.485,18.07,23,253,211,-3.352,6.569,216
319,medial,5A,i2j2.tif,cmm,Hab,11,131347.41,196.121,22.74,33,238,203,-3.808,20.634,205
319,medial,5A,i2j2.tif,dncm,Hab,11,131347.41,200.121,20.053,42,250,205,-4.926,34.929,205
319,medial,5A,i2j2.tif,vncm,Hab,11,131347.41,202.794,16.441,45,240,206,-6.386,63.48,205
319,medial,5A,i2j2.tif,cncm,Hab,11,131347.41,204.879,15.089,40,240,208,-6.177,60.85,205
319,medial,5A,i2j2.tif,l,Hab,11,254688.819,203.637,9.658,72,252,205,-11.205,220.647,205
319,medial,5A,i2j2.tif,whole,Hab,11,22155442.302,201.136,20.748,25,255,205,-4.059,26.174,205
324,medial,5A,i1j2.tif,cmm,Hab,14,131347.41,191.504,29.176,26,251,199,-2.635,8.449,205
324,medial,5A,i1j2.tif,dncm,Hab,14,131347.41,196.085,24.878,25,251,201,-3.305,16.373,205
324,medial,5A,i1j2.tif,vncm,Hab,14,131347.41,198.858,22.33,29,253,203,-3.994,25.345,205
324,medial,5A,i1j2.tif,cncm,Hab,14,131347.41,198.898,24.33,26,250,204,-4.292,24.006,205
324,medial,5A,i1j2.tif,l,Hab,14,254688.819,204.579,14.204,38,254,205,-5.901,88.921,205
324,medial,5A,i1j2.tif,whole,Hab,14,19797747.017,200.099,22.039,11,254,205,-3.494,18.21,205
4612,medial,5A,i1j2.tif,whole,Hab,808,24952776.232,201.296,20.894,16,255,205,-2.809,5.964,205
4612,medial,5A,i1j2.tif,cmm,Hab,808,131347.41,193.109,28.514,26,249,201,-2.739,7.625,205
4612,medial,5A,i1j2.tif,dncm,Hab,808,131347.41,206.814,12.942,36,248,209,-5.269,52.213,205
4612,medial,5A,i1j2.tif,vncm,Hab,808,131347.41,191.427,22.236,28,237,196,-2.755,4.819,205
4612,medial,5A,i1j2.tif,cncm,Hab,808,131347.41,194.869,30.607,22,253,204,-3.053,9.096,205
4612,medial,5A,i1j2.tif,l,Hab,808,254688.819,204.955,12.316,43,253,206,-3.818,65.699,205
4479,medial,3A,i1j2.tif,cmm,NoGo,808,131106.504,175.444,32.09,17,231,186,-2.324,5.88,194
4479,medial,3A,i1j2.tif,dncm,NoGo,808,131088.353,181.281,29.598,21,251,190,-2.708,8.331,194
4479,medial,3A,i1j2.tif,vncm,NoGo,808,131347.41,186.049,24.681,25,237,192,-2.736,10.279,194
4479,medial,3A,i1j2.tif,cncm,NoGo,808,131347.41,188.06,25.262,24,228,195,-3.491,14.12,194
4479,medial,3A,i1j2.tif,l,NoGo,808,254688.819,191.406,17.941,26,249,194,-3.183,20.749,194
4479,medial,3A,i1j2.tif,whole,NoGo,808,14438726.501,186.107,29.96,14,253,194,-2.543,7.45,194
298,medial,6B,i1j2.tif,cmm,NoGo,65,131476.113,188.297,28.319,38,230,198,-2.111,5.678,206
298,medial,6B,i1j2.tif,dncm,NoGo,65,131293.783,194.528,28.607,38,238,205,-2.123,4.359,206
298,medial,6B,i1j2.tif,vncm,NoGo,65,131347.41,201.719,20.527,39,242,207,-3.295,16.075,206
298,medial,6B,i1j2.tif,cncm,NoGo,65,131347.41,208.722,17.799,35,242,212,-4.098,15.77,206
298,medial,6B,i1j2.tif,l,NoGo,65,254688.819,207.968,14.063,43,250,210,-3.296,7.822,206
298,medial,6B,i1j2.tif,whole,NoGo,65,15605093.644,199.789,23.265,31,254,206,-2.39,6.828,206
4275,medial,6B,i2j2.tif,cmm,NoGo,143,131476.113,202.06,27.928,34,250,209,-2.591,8.162,214
4275,medial,6B,i2j2.tif,dncm,NoGo,143,131293.783,211.817,18.973,40,252,215,-1.528,-29.139,214
4275,medial,6B,i2j2.tif,vncm,NoGo,143,131347.41,206.076,22.631,37,252,210,-2.625,6.606,214
4275,medial,6B,i2j2.tif,cncm,NoGo,143,131347.41,204.371,26.414,33,250,210,-2.874,7.017,214
4275,medial,6B,i2j2.tif,l,NoGo,143,254688.819,217.266,11.659,64,254,217,62.276,-2515.323,214
4275,medial,6B,i2j2.tif,whole,NoGo,143,18524336.747,209.708,20.903,22,255,214,-2.319,-6.78,214
313,medial,2B,i1j2.tif,cmm,NoGo,61,131446.412,189.763,34.006,28,234,202,-2.322,5.055,212
313,medial,2B,i1j2.tif,dncm,NoGo,62,131293.783,196.546,29.07,32,237,206,-2.972,8.221,212
313,medial,2B,i1j2.tif,vncm,NoGo,63,131403.511,201.643,21.137,34,234,207,-3.6,12.182,212
313,medial,2B,i1j2.tif,cncm,NoGo,64,131510.764,202.724,26.372,32,226,210,-3.511,9.072,212
313,medial,2B,i1j2.tif,l,NoGo,65,254668.194,212.761,9.081,43,247,214,97.966,-6261.869,212
313,medial,2B,i1j2.tif,whole,NoGo,66,16398426.059,205.911,22.643,17,255,212,-3.164,5.59,212
311,medial,2A,i2j2.tif,cmm,NoGo,11,131507.464,218.087,16.526,49,253,220,-0.535,-46.134,222
311,medial,2A,i2j2.tif,dncm,NoGo,11,131281.408,222.735,9.403,119,255,223,NaN,-2399671.909,222
311,medial,2A,i2j2.tif,vncm,NoGo,11,131438.987,222.783,9.416,63,252,223,139.873,-8794.729,222
311,medial,2A,i2j2.tif,cncm,NoGo,11,131510.764,220.94,12.452,57,254,222,12.268,-472.717,222
311,medial,2A,i2j2.tif,l,NoGo,11,254672.319,224.44,9.348,68,254,224,68.081,-3284.917,222
311,medial,2A,i2j2.tif,whole,NoGo,11,15263394.024,220.17,12.222,23,255,222,3.921,-209.428,222
4497,medial,5A,i1j2.tif,cmm,Novel,808,131507.464,180.498,30.621,32,235,192,-2.459,6.83,200
4497,medial,5A,i1j2.tif,dncm,Novel,808,131281.408,188.035,26.226,33,232,196,-3.26,12.993,200
4497,medial,5A,i1j2.tif,vncm,Novel,808,131438.987,184.926,26.147,28,229,194,-2.982,10.223,200
4497,medial,5A,i1j2.tif,cncm,Novel,808,131510.764,200.06,14.386,40,227,202,-8.328,94.205,200
4497,medial,5A,i1j2.tif,l,Novel,808,254672.319,193.911,17.887,28,234,197,-4.094,24.089,200
4497,medial,5A,i1j2.tif,whole,Novel,808,9588078.749,193.408,24.68,18,254,200,-3.595,16.702,200
294,medial,5A,i2j2.tif,cmm,Novel,65,131507.464,201.793,16.082,28,250,204,-6.954,73.76,208
294,medial,5A,i2j2.tif,dncm,Novel,65,131281.408,199.323,18.954,31,242,203,-5.737,46.731,208
294,medial,5A,i2j2.tif,vncm,Novel,65,131438.987,203.483,13.176,34,251,205,-8.829,118.507,208
294,medial,5A,i2j2.tif,cncm,Novel,65,131510.764,201.334,20.579,23,234,206,-5.712,40.871,208
294,medial,5A,i2j2.tif,l,Novel,65,254672.319,204.484,10.821,35,253,205,-10.069,179.679,208
294,medial,5A,i2j2.tif,whole,Novel,65,20663064.132,205.894,16.467,22,255,208,-4.538,39.237,208
4441,medial,3A,i2j2.tif,cmm,Novel,143,131507.464,194.828,28.024,25,248,202,-2.568,7.247,208
4441,medial,3A,i2j2.tif,dncm,Novel,144,131281.408,200.56,19.762,35,245,205,-2.351,-1.166,208
4441,medial,3A,i2j2.tif,vncm,Novel,145,131438.987,195.96,25.283,33,250,202,-2.459,6.694,208
4441,medial,3A,i2j2.tif,cncm,Novel,146,131510.764,202.968,23.086,28,248,209,-3.359,9.039,208
4441,medial,3A,i2j2.tif,l,Novel,147,254672.319,205.148,14.399,39,251,206,3.581,-103.454,208
4441,medial,3A,i2j2.tif,whole,Novel,148,17312313.788,203.84,20.452,25,253,208,-2.022,-6.229,208
302,medial,9A,i2j2.tif,cmm,Novel,61,131507.464,171.002,38.789,20,235,185,-1.7,2.343,194
302,medial,9A,i2j2.tif,dncm,Novel,61,131281.408,171.02,39.889,23,241,186,-1.714,2.329,194
302,medial,9A,i2j2.tif,vncm,Novel,61,131438.987,187.804,25.326,32,238,195,-2.728,8.343,194
302,medial,9A,i2j2.tif,cncm,Novel,61,131510.764,195.433,21.328,24,246,201,-3.271,6.986,194
302,medial,9A,i2j2.tif,l,Novel,61,254672.319,194.653,21.382,22,246,199,-3.373,13.438,194
302,medial,9A,i2j2.tif,whole,Novel,61,16421044.824,185.277,29.99,13,254,194,-2.351,5.713,194
4622,medial,2B,i1j2.tif,cmm,Novel,14,131507.464,189.536,30.603,26,244,200,-2.48,5.705,207
4622,medial,2B,i1j2.tif,dncm,Novel,14,131281.408,195.552,26.866,24,231,203,-2.881,6.891,207
4622,medial,2B,i1j2.tif,vncm,Novel,14,131438.987,198.522,24.274,25,245,205,-3.187,11.962,207
4622,medial,2B,i1j2.tif,cncm,Novel,14,131510.764,204.926,17.245,32,233,208,-3.383,-10.863,207
4622,medial,2B,i1j2.tif,l,Novel,14,254633.543,208.276,11.099,21,251,210,-2.956,-13.694,207
4622,medial,2B,i1j2.tif,whole,Novel,14,14842891.734,201.7,22.107,12,255,207,-3.373,11.261,207
295,medial,5A,i1j2.tif,cmm,Go,65,131507.464,193.846,23.182,26,242,199,-3.346,15.42,200
295,medial,5A,i1j2.tif,dncm,Go,65,131281.408,191.078,27.963,27,251,198,-2.879,9.611,200
295,medial,5A,i1j2.tif,vncm,Go,65,131438.987,198.353,18.978,26,253,201,-4.114,31.358,200
295,medial,5A,i1j2.tif,cncm,Go,65,131510.764,202.751,16.851,21,244,205,-6.433,63.404,200
295,medial,5A,i1j2.tif,l,Go,65,254633.543,198.336,19.392,24,253,201,-3.895,29.012,200
295,medial,5A,i1j2.tif,whole,Go,65,17543752.7,195.251,23.545,17,255,200,-3.309,15.975,200
4439,medial,1A,i2j1.tif,cmm,Go,143,131507.464,220.057,20.148,31,254,224,-2.559,7.913,229
4439,medial,1A,i2j1.tif,dncm,Go,143,131281.408,229.417,12.572,37,255,230,-5.151,69.822,229
